country_id, covid_percents
0, 0.5303765926839293
1, 11.587560806115357
2, 0.6183097306788898
3, 0.3188949065903974
4, 21.550261085051776
5, 15.046506918663516
6, 42.5512431372549
7, 62.18707528314457
8, 8.13384949206036
9, 9.53969465648855
10, 40.94935370152761
11, 1.2367128344941072
12, 36.381881533101044
13, 10.520023282887077
14, 40.10389991371872
15, 17.36608040201005
16, 0.23080095685886332
17, 8.09740932642487
18, 9.551220765869957
19, 13.894557823129253
20, 16.71616633499405
21, 18.546142774899252
22, 0.4312168867210495
23, 0.8266164244272983
24, 0.4670873201235591
25, 11.820070478512003
26, 0.31699792960662526
27, 0.0465542432728601
28, 25.892733835530446
29, 0.2806726630001306
30, 12.414775072224515
31, 1.0318390804597701
32, 22.55425991362387
33, 0.33319811964515883
34, 30.598611449451887
35, 9.812695329743091
36, 51.22187241093621
37, 58.878522099447515
38, 1.5880566801619433
39, 21.013333333333332
40, 6.00101401179941
41, 5.771008331916341
42, 0.5038843395157034
43, 3.111085414739439
44, 1.2248039914468996
45, 0.2873378454596729
46, 45.98996983408748
47, 0.4305878361921993
48, 7.639620535714286
49, 25.589406244360223
50, 59.032144498575235
51, 2.200044923629829
52, 0.5207281754240795
53, 45.31596891451492
54, 43.834217750405806
55, 0.5503910147073021
56, 52.275736352297805
57, 17.53214285714286
58, 6.511844161643224
59, 0.29051244955455724
60, 9.110546378653114
61, 0.29698298544115065
62, 4.633225643614336
63, 22.474699792960664
64, 60.73343108504399
65, 3.237357427949484
66, 2.4467721296851463
67, 6.126933021729402
68, 34.070656136087486
69, 54.69953789279113
70, 40.50160431345308
71, 5.154474839581223
72, 20.327919921566146
73, 17.122385572870723
74, 0.6361849323985048
75, 51.287009544008484
76, 17.889934065934067
77, 1.6101774042950514
78, 0.1588572558323448
79, 7.380293989230098
80, 47.00804555473916
81, 49.24504792332269
82, 30.019759035416598
